任务名称,文件地址,任务状态,贡献者,审核者1,审核者2,审核者3
代码英雄 S1E1时间轴,https://github.com/COSSIG/COSSIG-Subtitles/blob/main/reviewed-subtitles/Command-Line-Heroes-S1E1.srt,已完成,@Phodopussungorus,@Northurland,,
代码英雄 S1E2时间轴,当前不可用,已完成,@sz997302950,@Phodopussungorus,,
代码英雄 S1E3时间轴,当前不可用,已申领,Lia [Github 用户名待知悉],,,
代码英雄 S1E4时间轴,当前不可用,已完成,Marine [Github 用户名待知悉],@Northurland,,
代码英雄 S1E5时间轴,https://github.com/COSSIG/COSSIG-Subtitles/blob/main/submitted-subtitles/Command-Line-Heroes-S1E5.ass,待审核,@sz997302950,@Northurland,,
,,,,,,
翻译：CentOS-Community-Newsletter-August-2022,https://github.com/COSSIG/COSSIG-Translation/blob/main/published/CentOS-Community-Newsletter-August-2022.md,已完成,@lkxed,@acyanbird,,
翻译：CentOS-Community-Newsletter-September-2022,https://github.com/COSSIG/COSSIG-Translation/blob/main/published/CentOS-Community-Newsletter-September-2022.md,已完成,@lkxed,@Northurland,,
翻译：DevConf-Dojo-Event-Report,https://github.com/COSSIG/COSSIG-Translation/blob/main/sources/DevConf-Dojo-Event-Report.md,已申领,@RakerZh,@Phodopussungorus,,
翻译：CentOS-Hyperscale-SIG-conference-recap,https://github.com/COSSIG/COSSIG-Translation/blob/main/sources/CentOS-Hyperscale-SIG-conference-recap.md,已申领,@turbokernel,,,
